"","submission_sample_ID","gene","year","location","site","sample_type","sample_number","sample_year_extract_ID"
"1","CBW_01_16S","16S","2021","sierra","Gardisky ","eDNA",171,"2021_25"
"2","CBW_02_16S","16S","2021","sierra","Steelhead","eDNA",172,"2021_26"
"3","CBW_03_16S","16S","2016","sierra","Pollydome 1","eDNA",173,"2016_14"
"4","CBW_04_16S","16S","2021","sierra","Serene","eDNA",174,"2021_27"
"5","CBW_05_16S","16S","2017","sierra","Lukens","eDNA",175,"2017_04"
"6","CBW_06_16S","16S","2021","sierra","Eastern Brook Pond A","eDNA",176,"2021_09"
"7","CBW_07_16S","16S","2016","sierra","Blue","eDNA",177,"2016_18"
"8","CBW_08_16S","16S","2016","sierra","Boundary LK","eDNA",178,"2016_16"
"9","CBW_09_16S","16S","2016","sierra","Spotted Fawn","eDNA",179,"2016_07"
"10","CBW_10_16S","16S","2017","sierra","Greenstone","eDNA",180,"2017_23"
