submission_sample_ID,sample_number,sample_year_extract_ID,sample_type,site,gene
CBW_192_18S,277,2021_25,sierra,Gardisky ,18S
CBW_193_18S,278,2016_16,sierra,Boundary LK,18S
CBW_194_18S,279,2017_23,sierra,Greenstone,18S
CBW_195_18S,280,2016_20,sierra,Gaylor 2 upper,18S
CBW_196_18S,281,2021_11,sierra,Greenstone,18S
CBW_197_18S,282,2017_20,sierra,May,18S
CBW_198_18S,283,2017_21,sierra,Gaylor lower,18S
CBW_199_18S,284,2017_22,sierra,Blue,18S
CBW_200_18S,285,2021_09,sierra,Eastern Brook Pond A,18S
CBW_201_18S,286,2016_07,sierra,Spotted Fawn,18S
CBW_202_18S,287,2017_17,sierra,Blue,18S
CBW_203_18S,288,2017_19,sierra,Pollydome 1,18S
CBW_204_18S,289,2016_10,sierra,May,18S
CBW_205_18S,290,2016_22,sierra,Virginia,18S
CBW_206_18S,291,2017_12,sierra,Virginia.sample 2,18S
CBW_207_18S,292,2021_28,sierra,Spillway,18S
CBW_208_18S,293,2017_04,sierra,Lukens,18S
CBW_209_18S,294,2021_26,sierra,Steelhead,18S
CBW_210_18S,295,2016_14,sierra,Pollydome 1,18S
CBW_211_18S,296,2021_27,sierra,Serene,18S
CBW_212_18S,297,2017_07,sierra,Elizabeth,18S
CBW_213_18S,298,2016_13,sierra,Sunrise 3,18S
CBW_214_18S,299,2016_06,sierra,Cathedral lower,18S
CBW_215_18S,300,2021_17,sierra,Wasco,18S
CBW_216_18S,301,2021_14,sierra,Pollydome 2,18S
CBW_217_18S,302,2017_18,sierra,Gardisky,18S
CBW_218_18S,303,2017_24b,sierra,Sunrise 1,18S
CBW_219_18S,304,2021_20,sierra,Elizabeth,18S
CBW_220_18S,305,2017_08,sierra,Steelhead,18S
CBW_221_18S,306,sierra_PCR_NEG_5,pcr_neg,NA,18S
CBW_222_18S,307,2017_13,sierra,Sunrise 1,18S
CBW_223_18S,308,2021_29,blank,NA,18S
CBW_224_18S,309,2017_01,sierra,Blue.sample 4,18S
CBW_225_18S,310,2016_12,sierra,Cascade,18S
CBW_226_18S,311,2021_07,sierra,Convict ,18S
CBW_227_18S,312,2016_21,sierra,Sunrise 1,18S
CBW_228_18S,313,2016_24,blank,NA,18S
CBW_229_18S,314,2021_02,sierra,Sunrise 2,18S
CBW_230_18S,315,2016_04,sierra,Gaylor 1,18S
CBW_231_18S,316,2021_23,sierra,Easern Brook,18S
CBW_232_18S,317,2016_03,sierra,Serene,18S
CBW_233_18S,318,2021_19,sierra,Gaylor lower,18S
CBW_234_18S,319,2016_09,sierra,Cathedral upper,18S
CBW_235_18S,320,2021_04,sierra,Sunrise 1?,18S
CBW_236_18S,321,2016_02,sierra,Steelhead,18S
CBW_237_18S,322,2017_23b,sierra,Poly Dome 3,18S
CBW_238_18S,323,2021_15,sierra,Granite 2,18S
CBW_239_18S,324,2021_21,sierra,Pollydome 1,18S
CBW_240_18S,325,2017_06,sierra,Lukens,18S
CBW_241_18S,326,2017_09,sierra,Steelhead,18S
CBW_242_18S,327,2021_08,sierra,Granite 1,18S
CBW_243_18S,328,sierra_PCR_NEG_6,pcr_neg,NA,18S
CBW_244_18S,329,2021_16,sierra,Helen,18S
CBW_245_18S,330,2021_10,sierra,May,18S
CBW_246_18S,331,2016_05,sierra,Sunrise 2,18S
CBW_247_18S,332,2016_11,sierra,Gardisky,18S
CBW_248_18S,333,2016_19,sierra,Lukens,18S
CBW_249_18S,334,2021_13,sierra,Blue,18S
CBW_250_18S,335,2016_01,sierra,Greenstone,18S
CBW_251_18S,336,2021_18,sierra,Cathedral 1 lower,18S
CBW_252_18S,337,2017_16,sierra,Helen,18S
CBW_253_18S,338,2017_24,blank,NA,18S
CBW_254_18S,339,sierra_PCR_POS_18S_1,pcr_pos,NA,18S
CBW_255_18S,340,2017_15,sierra,Spillway,18S
CBW_256_18S,341,2021_01,sierra,Upper Gaylor,18S
CBW_257_18S,342,2017_05,sierra,Virginia,18S
CBW_258_18S,343,2021_24,sierra,Cascade,18S
CBW_259_18S,344,2017_14,sierra,Cathedral upper,18S
CBW_260_18S,345,2016_18,sierra,Blue,18S
CBW_261_18S,346,2021_05,sierra,Virginia,18S
CBW_262_18S,347,2016_15,sierra,Spillway,18S
CBW_263_18S,348,2017_10,sierra,Gaylor upper,18S
CBW_264_18S,349,2016_23,sierra,Steelhead,18S
CBW_265_18S,350,2021_03,sierra,Sunrise 3,18S
CBW_266_18S,351,2016_08,sierra,Secret,18S
CBW_267_18S,352,2021_12,sierra,Polydome 3,18S
CBW_268_18S,353,2017_11,sierra,Sunrise 2,18S
CBW_269_18S,354,2016_17,sierra,Elizabeth,18S
CBW_270_18S,355,2021_06,sierra,Cathedral 2 upper,18S
CBW_271_18S,356,2017_22b,sierra,Lower Cathedral,18S
CBW_272_18S,357,2017_02,sierra,Serene,18S
CBW_273_18S,358,2017_03,sierra,Blue.sample 2,18S
CBW_274_18S,359,2019_06,sierra,Serene,18S
CBW_275_18S,360,2019_17,sierra,Spillway ,18S
