submission_sample_ID,sample_number,sample_year_extract_ID,sample_type,site,gene
CBW_07_16S,177,2016_18,sierra,Blue,16S
CBW_17_16S,187,2017_17,sierra,Blue,16S
CBW_48_16S,218,2017_22,sierra,Blue,16S
CBW_56_16S,226,2021_13,sierra,Blue,16S
CBW_99_16S,269,2019_21,sierra,Blue,16S
CBW_77_16S,247,2017_03,sierra,Blue,16S
CBW_70_16S,240,2017_01,sierra,Blue,16S
CBW_08_16S,178,2016_16,sierra,Boundary LK,16S
CBW_20_16S,190,2016_12,sierra,Cascade,16S
CBW_57_16S,227,2021_24,sierra,Cascade,16S
CBW_25_16S,195,2021_18,sierra,Cathedral lower,16S
CBW_29_16S,199,2017_22b,sierra,Cathedral lower,16S
CBW_32_16S,202,2016_06,sierra,Cathedral lower,16S
CBW_36_16S,206,2021_06,sierra,Cathedral upper,16S
CBW_64_16S,234,2016_09,sierra,Cathedral upper,16S
CBW_72_16S,242,2017_14,sierra,Cathedral upper,16S
CBW_112_16S,6,col_31_a,colombia,Centro L. Chico ,16S
CBW_118_16S,12,col_23_a,colombia,Centro L. Chico ,16S
CBW_127_16S,21,col_26_b,colombia,Centro L. Chico ,16S
CBW_131_16S,25,col_23_b,colombia,Centro L. Chico ,16S
CBW_135_16S,29,col_39_a,colombia,Centro L. Chico ,16S
CBW_150_16S,44,col_39_b,colombia,Centro L. Chico ,16S
CBW_152_16S,46,col_15_a,colombia,Centro L. Chico ,16S
CBW_166_16S,60,col_31_b,colombia,Centro L. Chico ,16S
CBW_177_16S,71,col_7_a,colombia,Centro L. Chico ,16S
CBW_187_16S,81,col_15_b,colombia,Centro L. Chico ,16S
CBW_189_16S,83,col_7_b,colombia,Centro L. Chico ,16S
CBW_136_16S,30,col_34_a,colombia,Centro L. Grande,16S
CBW_137_16S,31,col_18_a,colombia,Centro L. Grande,16S
CBW_144_16S,38,col_10_b,colombia,Centro L. Grande,16S
CBW_154_16S,48,col_18_b,colombia,Centro L. Grande,16S
CBW_156_16S,50,col_26_a,colombia,Centro L. Grande,16S
CBW_162_16S,56,col_2_b,colombia,Centro L. Grande,16S
CBW_175_16S,69,col_10_a,colombia,Centro L. Grande,16S
CBW_181_16S,75,col_34_b,colombia,Centro L. Grande,16S
CBW_185_16S,79,col_2_a,colombia,Centro L. Grande,16S
CBW_108_16S,2,col_36_b,colombia,Conexion ,16S
CBW_110_16S,4,col_20_a,colombia,Conexion ,16S
CBW_132_16S,26,col_12_a,colombia,Conexion ,16S
CBW_133_16S,27,col_36_a,colombia,Conexion ,16S
CBW_139_16S,33,col_28_a,colombia,Conexion ,16S
CBW_147_16S,41,col_12_b,colombia,Conexion ,16S
CBW_149_16S,43,col_20_b,colombia,Conexion ,16S
CBW_155_16S,49,col_4_a,colombia,Conexion ,16S
CBW_167_16S,61,col_28_b,colombia,Conexion ,16S
CBW_179_16S,73,col_4_b,colombia,Conexion ,16S
CBW_21_16S,191,2021_07,sierra,Convict,16S
CBW_115_16S,9,col_19_a,colombia,Desaguadero,16S
CBW_121_16S,15,col_35_b,colombia,Desaguadero,16S
CBW_126_16S,20,col_35_a,colombia,Desaguadero,16S
CBW_143_16S,37,col_11_b,colombia,Desaguadero,16S
CBW_146_16S,40,col_11_a,colombia,Desaguadero,16S
CBW_159_16S,53,col_27_a,colombia,Desaguadero,16S
CBW_171_16S,65,col_3_b,colombia,Desaguadero,16S
CBW_172_16S,66,col_19_b,colombia,Desaguadero,16S
CBW_184_16S,78,col_3_a,colombia,Desaguadero,16S
CBW_186_16S,80,col_27_b,colombia,Desaguadero,16S
CBW_79_16S,249,2021_23,sierra,Eastern Brook,16S
CBW_90_16S,260,2019_13,sierra,Eastern Brook,16S
CBW_06_16S,176,2021_09,sierra,Eastern Brook Pond,16S
CBW_16_16S,186,2017_07,sierra,Elizabeth,16S
CBW_33_16S,203,2021_20,sierra,Elizabeth,16S
CBW_35_16S,205,2016_17,sierra,Elizabeth,16S
CBW_103_16S,273,2019_16,sierra,Elizabeth,16S
CBW_01_16S,171,2021_25,sierra,Gardisky,16S
CBW_27_16S,197,2017_18,sierra,Gardisky,16S
CBW_65_16S,235,2016_11,sierra,Gardisky,16S
CBW_96_16S,266,2019_19,sierra,Gardisky,16S
CBW_82_16S,252,2016_04,sierra,Gaylor lower,16S
CBW_14_16S,184,2016_20,sierra,Gaylor upper,16S
CBW_43_16S,213,2017_21,sierra,Gaylor lower,16S
CBW_63_16S,233,2021_19,sierra,Gaylor lower,16S
CBW_12_16S,182,2017_10,sierra,Gaylor upper,16S
CBW_45_16S,215,2021_01,sierra,Gaylor upper,16S
CBW_97_16S,267,2019_11,sierra,Granite lower,16S
CBW_74_16S,244,2021_15,sierra,Granite upper,16S
CBW_42_16S,212,2021_08,sierra,Granite lower,16S
CBW_10_16S,180,2017_23,sierra,Greenstone,16S
CBW_28_16S,198,2021_11,sierra,Greenstone,16S
