submission_sample_ID,sample_number,sample_year_extract_ID,sample_type,site,gene,year,lake.area.ha,lake.area.m2,elevation.m,fish,depth.feet,latitude,longitude,water_cat,secchi.feet,surface.temp.C,air.temp.C,O2.conc,O2.perc,cond.us.cm,SPC,pH.method,pH.ysi,pH.kit,alkalinity.drops,salinity,TN.mg.l,TP.mg.l,DOC.mg.l,DOC.uM,chla.mg.l,tow.depth,TN.umol.L,TP.umol.L
CBW_01_16S,171,2021_25,sierra,Gardisky,16S,2021,6.2388,64094,3206,Y,41,37.9562813,-119.2515007,,36,16.3,,9,91.6,30.9,37,YSI,8.58,,,,0.1369,0.01269,NA,,0.79,,,
CBW_02_16S,172,2021_26,sierra,Steelhead,16S,2021,8.3831,8383.1,3137,Y,34,37.993199,-119.3026364,,22,16.74,,7.33,75.4,6.3,7.4,YSI,7.78,,,,0.21246,0.00433,1,,0.84,,,
CBW_03_16S,173,2016_14,sierra,PollyDomeOne,16S,2016,6.5243,65243,2652,N,11.5,37.861312,-119.455883,mid,3.6,23.6,,,,3.3,,ysi,7.26,NA,,0,0.1,<0.10,,,,1,,
CBW_04_16S,174,2021_27,sierra,Serene,16S,2021,1.2,1200,3120,Y,18.1,37.43842,-118.7444485,,26,18.1,,7.64,80.7,10.5,12.2,YSI,7.85,,,,0.24398,0.0031,2.4,,1.39,,,
CBW_05_16S,175,2017_04,sierra,Lukens,16S,2017,4.081,38710,2515,Y,16.4,37.859889,-119.6161365,wet,15,20,,,,,,ysi,6.4,,,,,not being processed bc always below <0.2,,,0.84,,,
CBW_06_16S,176,2021_09,sierra,Eastern Brook Pond A,16S,2021,NA,NA,NA,N,NA,NA,NA,,2,,,,,,,YSI,,,,,1.27549,0.03034,16.9,,1.65,,,
CBW_07_16S,177,2016_18,sierra,Blue,16S,2016,3.907,3907,3009,Y,35,38.0511336,-119.2703313,mid,28/29,16.6,,,,92.5,,ysi,8.11,NA,,0.05,0.05,<0.10,,,,9,,
CBW_08_16S,178,2016_16,sierra,Boundary,16S,2016,19.1513,191513,2294,N,98.4,38.088642,-119.790165,mid,28,21.3,,,,8.4,,ysi,6.85,NA,,0,2.83,<0.10,,,,10,,
CBW_09_16S,179,2016_07,sierra,SpottedFawn,16S,2016,28.9,289005,2233,N,98.4,38.072891,-119.777595,mid,24,20.2,,,,3.5,,ysi,7.41,NA,,0,0.98,<0.10,,,,10,,
CBW_10_16S,180,2017_23,sierra,Greenstone,16S,2017,7.7923,80527,3092,Y,33.6,37.9798401,-119.2904565,wet,12,15.9,,,,28.9,,ysi,7.18,,,0.01,,not being processed bc always below <0.17,,,0.7,,,
CBW_11_16S,181,2017_11,sierra,Sunrise2,16S,2017,3.0223,3022.3,2835,N,16.9,37.8088233,-119.4494792,wet,7.1,20.9,,,,30,,ysi,6.57,,,0.01,,not being processed bc always below <0.20,,,0.73,,,
CBW_12_16S,182,2017_10,sierra,Gaylor.2.upper,16S,2017,3.8634,40383,3204,Y,16.4,37.9226947,-119.2673837,wet,14.4,14.6,,,,,,ysi,6.6,,,,,not being processed bc always below <0.7,,,0.54,,,
CBW_13_16S,183,2021_05,sierra,Virginia,16S,2021,10.4569,10456.9,2993,Y,29,38.0469747,-119.2650757,,24,17,,7.74,80.3,60.9,72,YSI,8.52,,,,0.13417,ND,0.8,,0.8,,,
CBW_14_16S,184,2016_20,sierra,Gaylor.2.upper,16S,2016,3.8634,40383,3204,Y,16.4,37.9226947,-119.2673837,mid,14,14.4,,,,17.1,,ysi,7.85,NA,,0.01,0.41,<0.10,,,,3,,
CBW_16_16S,186,2017_07,sierra,Elizabeth,16S,2017,9.8861,9886.1,2897,Y,32,37.8451855,-119.3699099,wet,5.2,19.7,,,,138.7,,ysi,6.9,,,0.07,,not being processed bc always below <0.18,,,0.4,,,
CBW_17_16S,187,2017_17,sierra,Blue,16S,2017,3.907,3907,3009,Y,35,38.0511336,-119.2703313,wet,25,14.6,,,,,,ysi,7,,,,,not being processed bc always below <0.3,,,,,,
CBW_18_16S,188,2021_14,sierra,PollyDomeTwo,16S,2021,1.0858,10858,2663,N,13.1,37.864605,-119.451607,,11,22.7,,10.44,121,4.1,4.2,YSI,8.02,,,,0.26835,0.58483,NA,,2.15,,,
