"","submission_sample_ID","gene","year","location","site","sample_type","sample_number","sample_year_extract_ID"
"1","CBW_01_16S","16S","2021","sierra","Gardisky ","eDNA",171,"2021_25"
"2","CBW_02_16S","16S","2021","sierra","Steelhead","eDNA",172,"2021_26"
"3","CBW_03_16S","16S","2016","sierra","Pollydome 1","eDNA",173,"2016_14"
"4","CBW_04_16S","16S","2021","sierra","Serene","eDNA",174,"2021_27"
"5","CBW_05_16S","16S","2017","sierra","Lukens","eDNA",175,"2017_04"
"6","CBW_06_16S","16S","2021","sierra","Eastern Brook Pond A","eDNA",176,"2021_09"
"7","CBW_07_16S","16S","2016","sierra","Blue","eDNA",177,"2016_18"
"8","CBW_08_16S","16S","2016","sierra","Boundary LK","eDNA",178,"2016_16"
"9","CBW_09_16S","16S","2016","sierra","Spotted Fawn","eDNA",179,"2016_07"
"10","CBW_10_16S","16S","2017","sierra","Greenstone","eDNA",180,"2017_23"
"11","CBW_11_16S","16S","2017","sierra","Sunrise 2","eDNA",181,"2017_11"
"12","CBW_12_16S","16S","2017","sierra","Gaylor upper","eDNA",182,"2017_10"
"13","CBW_13_16S","16S","2021","sierra","Virginia","eDNA",183,"2021_05"
"14","CBW_14_16S","16S","2016","sierra","Gaylor 2 upper","eDNA",184,"2016_20"
"15","CBW_15_16S","16S","2021","ext.blank",NA,"ext.blank",185,"2021_29"
"16","CBW_16_16S","16S","2017","sierra","Elizabeth","eDNA",186,"2017_07"
"17","CBW_17_16S","16S","2017","sierra","Blue","eDNA",187,"2017_17"
"18","CBW_18_16S","16S","2021","sierra","Pollydome 2","eDNA",188,"2021_14"
"19","CBW_19_16S","16S","2016","sierra","Spillway","eDNA",189,"2016_15"
"20","CBW_20_16S","16S","2016","sierra","Cascade","eDNA",190,"2016_12"
"21","CBW_21_16S","16S","2021","sierra","Convict ","eDNA",191,"2021_07"
"22","CBW_22_16S","16S",NA,"pcr_neg",NA,"NA",192,"sierra_PCR_NEG_1"
"23","CBW_23_16S","16S","2016","sierra","Sunrise 3","eDNA",193,"2016_13"
"24","CBW_24_16S","16S","2016","sierra","Steelhead","eDNA",194,"2016_23"
"25","CBW_25_16S","16S","2021","sierra","Cathedral 1 lower","eDNA",195,"2021_18"
"26","CBW_26_16S","16S","2017","sierra","Pollydome 1","eDNA",196,"2017_19"
"27","CBW_27_16S","16S","2017","sierra","Gardisky","eDNA",197,"2017_18"
"28","CBW_28_16S","16S","2021","sierra","Greenstone","eDNA",198,"2021_11"
"29","CBW_29_16S","16S","2017","sierra","Lower Cathedral","eDNA",199,"2017_22b"
"30","CBW_30_16S","16S","2017","sierra","Serene","eDNA",200,"2017_02"
