"","submission_sample_ID","sample_year_extract_ID","gene","sampleNames","year","location","site","sample_type","sample_number","sample_control"
"192_18S","CBW_192_18S","2021_25","18S","192_18S","2021","sierra","Gardisky ","eDNA","277","samples"
"193_18S","CBW_193_18S","2016_16","18S","193_18S","2016","sierra","Boundary LK","eDNA","278","samples"
"194_18S","CBW_194_18S","2017_23","18S","194_18S","2017","sierra","Greenstone","eDNA","279","samples"
"195_18S","CBW_195_18S","2016_20","18S","195_18S","2016","sierra","Gaylor 2 upper","eDNA","280","samples"
"196_18S","CBW_196_18S","2021_11","18S","196_18S","2021","sierra","Greenstone","eDNA","281","samples"
"197_18S","CBW_197_18S","2017_20","18S","197_18S","2017","sierra","May","eDNA","282","samples"
"198_18S","CBW_198_18S","2017_21","18S","198_18S","2017","sierra","Gaylor lower","eDNA","283","samples"
"199_18S","CBW_199_18S","2017_22","18S","199_18S","2017","sierra","Blue","eDNA","284","samples"
"200_18S","CBW_200_18S","2021_09","18S","200_18S","2021","sierra","Eastern Brook Pond A","eDNA","285","samples"
"201_18S","CBW_201_18S","2016_07","18S","201_18S","2016","sierra","Spotted Fawn","eDNA","286","samples"
"202_18S","CBW_202_18S","2017_17","18S","202_18S","2017","sierra","Blue","eDNA","287","samples"
"203_18S","CBW_203_18S","2017_19","18S","203_18S","2017","sierra","Pollydome 1","eDNA","288","samples"
"204_18S","CBW_204_18S","2016_10","18S","204_18S","2016","sierra","May","eDNA","289","samples"
"205_18S","CBW_205_18S","2016_22","18S","205_18S","2016","sierra","Virginia","eDNA","290","samples"
"206_18S","CBW_206_18S","2017_12","18S","206_18S","2017","sierra","Virginia.sample 2","eDNA","291","samples"
"207_18S","CBW_207_18S","2021_28","18S","207_18S","2021","sierra","Spillway","eDNA","292","samples"
"208_18S","CBW_208_18S","2017_04","18S","208_18S","2017","sierra","Lukens","eDNA","293","samples"
"209_18S","CBW_209_18S","2021_26","18S","209_18S","2021","sierra","Steelhead","eDNA","294","samples"
"210_18S","CBW_210_18S","2016_14","18S","210_18S","2016","sierra","Pollydome 1","eDNA","295","samples"
"211_18S","CBW_211_18S","2021_27","18S","211_18S","2021","sierra","Serene","eDNA","296","samples"
"212_18S","CBW_212_18S","2017_07","18S","212_18S","2017","sierra","Elizabeth","eDNA","297","samples"
"213_18S","CBW_213_18S","2016_13","18S","213_18S","2016","sierra","Sunrise 3","eDNA","298","samples"
"214_18S","CBW_214_18S","2016_06","18S","214_18S","2016","sierra","Cathedral lower","eDNA","299","samples"
"215_18S","CBW_215_18S","2021_17","18S","215_18S","2021","sierra","Wasco","eDNA","300","samples"
"216_18S","CBW_216_18S","2021_14","18S","216_18S","2021","sierra","Pollydome 2","eDNA","301","samples"
"217_18S","CBW_217_18S","2017_18","18S","217_18S","2017","sierra","Gardisky","eDNA","302","samples"
"218_18S","CBW_218_18S","2017_24b","18S","218_18S","2017","sierra","Sunrise 1","eDNA","303","samples"
"219_18S","CBW_219_18S","2021_20","18S","219_18S","2021","sierra","Elizabeth","eDNA","304","samples"
"220_18S","CBW_220_18S","2017_08","18S","220_18S","2017","sierra","Steelhead","eDNA","305","samples"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222_18S","CBW_222_18S","2017_13","18S","222_18S","2017","sierra","Sunrise 1","eDNA","307","samples"
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224_18S","CBW_224_18S","2017_01","18S","224_18S","2017","sierra","Blue.sample 4","eDNA","309","samples"
"225_18S","CBW_225_18S","2016_12","18S","225_18S","2016","sierra","Cascade","eDNA","310","samples"
"226_18S","CBW_226_18S","2021_07","18S","226_18S","2021","sierra","Convict ","eDNA","311","samples"
"227_18S","CBW_227_18S","2016_21","18S","227_18S","2016","sierra","Sunrise 1","eDNA","312","samples"
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229_18S","CBW_229_18S","2021_02","18S","229_18S","2021","sierra","Sunrise 2","eDNA","314","samples"
"230_18S","CBW_230_18S","2016_04","18S","230_18S","2016","sierra","Gaylor 1","eDNA","315","samples"
"231_18S","CBW_231_18S","2021_23","18S","231_18S","2021","sierra","Easern Brook","eDNA","316","samples"
"232_18S","CBW_232_18S","2016_03","18S","232_18S","2016","sierra","Serene","eDNA","317","samples"
"233_18S","CBW_233_18S","2021_19","18S","233_18S","2021","sierra","Gaylor lower","eDNA","318","samples"
"234_18S","CBW_234_18S","2016_09","18S","234_18S","2016","sierra","Cathedral upper","eDNA","319","samples"
"235_18S","CBW_235_18S","2021_04","18S","235_18S","2021","sierra","Sunrise 1?","eDNA","320","samples"
"236_18S","CBW_236_18S","2016_02","18S","236_18S","2016","sierra","Steelhead","eDNA","321","samples"
"237_18S","CBW_237_18S","2017_23b","18S","237_18S","2017","sierra","Poly Dome 3","eDNA","322","samples"
"238_18S","CBW_238_18S","2021_15","18S","238_18S","2021","sierra","Granite 2","eDNA","323","samples"
"239_18S","CBW_239_18S","2021_21","18S","239_18S","2021","sierra","Pollydome 1","eDNA","324","samples"
"240_18S","CBW_240_18S","2017_06","18S","240_18S","2017","sierra","Lukens","eDNA","325","samples"
"241_18S","CBW_241_18S","2017_09","18S","241_18S","2017","sierra","Steelhead","eDNA","326","samples"
"242_18S","CBW_242_18S","2021_08","18S","242_18S","2021","sierra","Granite 1","eDNA","327","samples"
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244_18S","CBW_244_18S","2021_16","18S","244_18S","2021","sierra","Helen","eDNA","329","samples"
"245_18S","CBW_245_18S","2021_10","18S","245_18S","2021","sierra","May","eDNA","330","samples"
"246_18S","CBW_246_18S","2016_05","18S","246_18S","2016","sierra","Sunrise 2","eDNA","331","samples"
"247_18S","CBW_247_18S","2016_11","18S","247_18S","2016","sierra","Gardisky","eDNA","332","samples"
"248_18S","CBW_248_18S","2016_19","18S","248_18S","2016","sierra","Lukens","eDNA","333","samples"
"249_18S","CBW_249_18S","2021_13","18S","249_18S","2021","sierra","Blue","eDNA","334","samples"
