"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"X192_18S",227,323.28125,29.1936752820794,314.823862952096,9.0433801885078,2.93936525461339,0.875097427330948,8.00624021291899,42.6966383334807
"X193_18S",378,457.026315789474,23.7373947832302,437.818749296825,10.3158532714617,4.03902751027703,0.959380066533759,24.6184548980392,64.249006140733
"X194_18S",252,279.333333333333,11.2303300234475,279.566518360797,8.18960180056663,3.28044367300346,0.888680496005819,8.98315177592122,42.1206636338453
"X195_18S",350,447.5,27.2201625108092,436.586148988482,10.7172183770619,4.11556953825192,0.969309153177383,32.5830044957598,64.2187869054774
"X196_18S",286,321.357142857143,13.858536255286,313.950543114154,8.71731718170717,3.24863690503398,0.917240693277821,12.083233168651,44.7674830879006
"X197_18S",340,370.357142857143,11.2028332651067,374.371175089107,9.6075512897587,4.01175250976453,0.962368139835097,26.5732279939919,58.4954204260404
"X198_18S",373,465.571428571429,27.5477199944381,433.135790241263,10.1685617149945,2.91692397280748,0.79706126221131,4.92759544528777,59.9762553912184
"X199_18S",374,410.666666666667,14.3820247289765,400.015977497629,9.77381746261746,4.1053818849812,0.962003711888183,26.3183602844876,61.2044130588982
"X200_18S",397,492.357142857143,26.7463187602417,481.343052688756,11.0620885080255,4.06969614340599,0.957095883776208,23.3077869448216,71.7028479822962
"X201_18S",337,374.125,13.1459344068358,374.817826839937,9.44313804992915,4.1168060022015,0.962160368579945,26.4273187256791,55.2738971723461
"X202_18S",406,489,23.9814985261901,469.709367982816,10.653825754196,3.66050412525503,0.927064914556213,13.7108223554592,65.3682303588282
"X203_18S",206,255.789473684211,20.0991105282785,242.607015100182,7.8496055831542,3.39591170879943,0.904251212102021,10.4439964406182,37.0364742970771
"X204_18S",278,356.714285714286,28.1863635131804,331.866771772582,8.99606761692651,3.76297098288877,0.9537765064276,21.6340203371626,44.6204781793711
"X205_18S",221,294.5,28.9852729843757,274.950742861672,8.35039785068444,3.66173985870532,0.947309651658521,18.9788079122031,35.9821178210332
"X206_18S",510,575.238805970149,17.6315936346573,583.299044243789,12.0216456826235,4.55224806968969,0.975997300455756,41.6619804850158,92.3999397542306
"X207_18S",185,216.230769230769,15.4858037173218,205.086882979616,7.06340301944467,3.02098774629659,0.89256710001247,9.30813559082992,26.708963434598
"X208_18S",238,275.272727272727,15.3776499525636,265.7088644641,8.05242894060618,2.78901169256165,0.768122900014679,4.31262940610912,38.1209263198405
"X209_18S",593,693.896551724138,22.9140076904059,711.72516859643,13.3903354921246,4.22512994341384,0.959640487622225,24.7773062924982,100.93895717784
"X210_18S",240,329.4375,34.0841297169264,294.558808546189,8.51993271547673,3.20714432555709,0.898704852236923,9.87214118428398,39.0515505701999
"X211_18S",520,744.508196721311,47.5304830459764,732.269417407613,14.5234124169729,4.27399350550792,0.961189490477947,25.7662167365201,94.227861560262
"X212_18S",361,407.75,21.8771380630116,374.253175262724,9.45254205687626,3.11331842521143,0.820279104120765,5.56418325820029,61.8457118946624
